Datum;Anfang;Ende;Deutschland/Luxemburg [€/MWh] Originalauflösungen;∅ Anrainer DE/LU [€/MWh] Originalauflösungen;Belgien [€/MWh] Originalauflösungen;Dänemark 1 [€/MWh] Originalauflösungen;Dänemark 2 [€/MWh] Originalauflösungen;Frankreich [€/MWh] Originalauflösungen;Niederlande [€/MWh] Originalauflösungen;Norwegen 2 [€/MWh] Originalauflösungen;Österreich [€/MWh] Originalauflösungen;Polen [€/MWh] Originalauflösungen;Schweden 4 [€/MWh] Originalauflösungen;Schweiz [€/MWh] Originalauflösungen;Tschechien [€/MWh] Originalauflösungen;DE/AT/LU [€/MWh] Originalauflösungen;Italien (Nord) [€/MWh] Originalauflösungen;Slowenien [€/MWh] Originalauflösungen;Ungarn [€/MWh] Originalauflösungen
01.01.2023;00:00;01:00;-5,17;13,85;-4,39;2,01;2,01;0;-3,61;119,32;12,06;18,09;2,01;0,03;4,84;-;195,9;13,31;19,76
01.01.2023;01:00;02:00;-1,07;9,79;-1,75;1,38;1,38;-0,1;-1,46;108,83;-0,1;5,75;1,38;-7,25;-0,35;-;191,09;-0,07;0,19
01.01.2023;02:00;03:00;-1,47;8,91;-1,46;0,09;0,09;-1,33;-1,52;102,39;-0,66;5,27;0,09;-3,99;-0,97;-;187,95;-0,47;0,07
01.01.2023;03:00;04:00;-5,08;6,58;-5,27;0,08;0,08;-4,08;-5;92,36;-1,99;5,74;0,08;-7,71;-1,93;-;187,82;-1,56;0,01
01.01.2023;04:00;05:00;-4,49;5,42;-4,41;0,05;0,05;-4,16;-4,6;82,66;-2,42;5,22;0,05;-9,71;-3,07;-;187,74;-1,94;-0,77
01.01.2023;05:00;06:00;-5,4;4,91;-5,4;0;0,08;-3,58;-4,05;79,58;-1,86;6,14;0,08;-15,15;-1,86;-;187,74;-1,42;0,01
01.01.2023;06:00;07:00;-5,02;4,45;-4,69;-0,38;0,09;-4,37;-3,6;77,65;-3,35;5,31;0,09;-14,33;-3,44;-;187,22;-2,97;-2,56
01.01.2023;07:00;08:00;-1,3;6,43;-1,31;0;0,53;-0,12;0;66,27;0;5,99;0,53;-0,66;-0,47;-;187,82;-0,12;0,02
01.01.2023;08:00;09:00;-1,44;8,13;-1,57;0;2,03;-0,06;0;80,89;-0,22;6,63;2,03;0,02;-0,3;-;186,47;-0,06;0,3
01.01.2023;09:00;10:00;-1,09;9,54;-1,03;0,04;3,1;0;0;93,73;0,29;6,64;3,1;-1,23;0,26;-;186,47;0,47;0,95
01.01.2023;10:00;11:00;-1,07;10,63;-0,23;0,8;4,43;0;0,99;106,05;0,73;5,17;4,43;-6,11;0,69;-;177,25;0,94;1,6
01.01.2023;11:00;12:00;-1,07;12,68;-0,74;0,08;6,06;0;0,58;116,28;1,14;8,53;6,06;0,28;1,17;-;168,5;1,41;2,32
01.01.2023;12:00;13:00;-0,79;13,46;-0,57;0,04;6,06;0;0,04;120,02;1,34;10,72;6,06;2,96;1,34;-;173;1,59;2,43
01.01.2023;13:00;14:00;-0,27;13,62;-0,12;0;5,68;0,1;0;122,17;1,53;14,06;5,68;-0,79;1,53;-;165,89;1,78;2,56
01.01.2023;14:00;15:00;0,85;20,96;0,85;0,85;17,71;1,5;0,85;120,11;5,78;56,41;17,71;3,06;5,78;-;179,73;6,41;9,96
01.01.2023;15:00;16:00;23,53;37,43;23,5;23,53;24,11;23,5;23,53;120,71;23,85;91,66;24,11;9,53;23,72;-;188,06;23,76;23,87
01.01.2023;16:00;17:00;36,54;48,37;36,54;36,54;36,54;36,54;36,54;121,98;36,54;97,81;36,54;19,95;36,54;-;193,67;36,54;36,54
01.01.2023;17:00;18:00;46,03;56,63;46,03;46,03;46,03;46,03;46,03;122,16;46,03;102,08;46,03;30,46;46,03;-;213,36;46,03;46,03
01.01.2023;18:00;19:00;55,57;65,05;36,64;55,57;55,57;44,43;99,9;121,77;52,71;106,34;54,23;34,39;53,99;-;229,99;52,31;53,35
01.01.2023;19:00;20:00;54,95;63,92;54,95;54,95;54,95;54,95;54,95;121,01;54,95;108,73;53,63;35,15;54,95;-;243,42;54,95;54,95
01.01.2023;20:00;21:00;49,23;59,69;45,83;49,23;49,23;47,38;62;120,4;49,05;106,65;48,05;29,57;49,16;-;235;48,96;49,08
01.01.2023;21:00;22:00;44,99;55;36,57;44,99;44,99;40,24;52,93;119,6;44,14;107,42;44,68;24,92;44,56;-;203,25;43,94;44,32
01.01.2023;22:00;23:00;45,96;55,31;45,96;45,96;45,96;45,96;45,96;116,24;45,96;103,81;45,96;20,72;45,96;-;190,85;45,96;45,96
01.01.2023;23:00;00:00;35;45,39;35;35;35;35;35;115,45;35;90,35;35;13,46;35;-;187,28;35;35
02.01.2023;00:00;01:00;57,91;74,29;69,92;57,91;57,91;61,38;109,9;119,96;82,06;96,87;57,91;40,37;63,02;-;187,27;67,96;66,75
02.01.2023;01:00;02:00;51,67;66,85;59,14;51,67;51,67;52,68;94,9;119,19;73,03;96,07;51,67;29,23;56,08;-;187,2;60,17;59,31
02.01.2023;02:00;03:00;52,93;59,87;52,93;52,93;52,86;52,93;52,93;118,18;52,93;94,8;52,86;22,28;52,93;-;180;52,93;52,93
02.01.2023;03:00;04:00;44,09;52,69;42,59;44,16;44,16;42,75;44,16;118,11;46,12;94,86;44,16;14,17;44,39;-;180;44,64;44,69
02.01.2023;04:00;05:00;50,08;58,4;50,08;50,08;50,08;50,08;50,08;119,99;50,08;96,87;50,08;24,94;50,08;-;185,89;50,08;50,08
02.01.2023;05:00;06:00;69,72;76,94;69,72;77,09;70,73;67,91;77,09;117,74;78,1;96,99;70,73;48,84;71,36;-;185,89;72,65;72,57
02.01.2023;06:00;07:00;105,08;106,71;105,08;105,08;104,08;105,08;105,08;121,73;105,08;140,48;102,56;74,52;105,08;-;198,85;105,08;105,08
02.01.2023;07:00;08:00;140,64;137,62;140,64;140,64;140,64;140,64;140,64;138,19;140,64;140,64;138,19;112,32;140,64;-;202,72;140,64;140,64
02.01.2023;08:00;09:00;145,98;146,41;151,89;145,98;145,98;149,8;162,44;145,98;147,08;145,98;145,98;123,03;146,39;-;213,36;147,15;146,67
02.01.2023;09:00;10:00;147,05;150,33;158,84;147,05;147,05;154,66;180;148,95;149,23;147,05;147,05;125,92;147,87;-;203,99;149,37;148,42
02.01.2023;10:00;11:00;145,61;144,34;145,61;145,61;145,61;145,61;145,61;149,96;145,61;145,61;145,61;127,31;145,61;-;196,23;145,61;145,61
02.01.2023;11:00;12:00;143,35;142,11;143,35;143,35;143,35;143,35;143,35;147,63;143,35;143,35;143,35;125,47;143,35;-;194,63;143,35;143,35
02.01.2023;12:00;13:00;144,38;143,41;144,38;144,38;144,38;144,38;144,38;148,69;144,38;144,38;144,38;129,43;144,38;-;194,47;144,38;144,38
02.01.2023;13:00;14:00;143,76;142,02;143,76;143,76;143,76;143,76;143,76;148,06;143,76;143,76;143,76;120,34;143,76;-;193,75;143,76;143,76
02.01.2023;14:00;15:00;148,2;146,95;148,2;148,2;148,2;148,2;148,2;152,44;148,2;146,09;148,2;132,27;148,2;-;195,74;148,2;148,2
02.01.2023;15:00;16:00;155,34;152,74;155,34;155,34;155,34;155,34;155,34;155,34;155,34;145,86;155,34;136,2;155,34;-;199,09;155,34;155,34
02.01.2023;16:00;17:00;162,89;160,03;163,3;162,89;162,89;163,17;164;162,89;163;146,63;162,89;145,91;162,79;-;206,21;163,17;163,98
02.01.2023;17:00;18:00;170;168,74;175,81;170;170;173,8;185,68;170;171,32;145,28;170;153,85;170,45;-;262;171,18;170,71
02.01.2023;18:00;19:00;174,74;170,87;174,74;174,74;174,74;174,74;174,74;174,74;174,74;145,43;174,74;161,43;174,74;-;247;174,74;174,74
02.01.2023;19:00;20:00;164,46;162,7;166,45;164,46;164,46;165,76;169,9;164,46;164,9;145,54;164,46;154,75;164,6;-;250;164,86;164,69
02.01.2023;20:00;21:00;153;152,08;153;153;153;153;153;153;153;147,23;153;148,62;153;-;210,95;153;153
02.01.2023;21:00;22:00;141,67;141,09;141,67;141,67;141,67;141,67;141,67;141,94;141,67;141,67;141,67;134,97;141,67;-;199,09;141,67;141,67
02.01.2023;22:00;23:00;134,91;133,55;134,91;134,91;131,67;134,91;134,91;137,72;134,91;137,54;131,67;121,01;134,91;-;194,47;134,91;134,91
02.01.2023;23:00;00:00;124,22;122,5;124,22;124,22;118,06;124,22;124,22;129,7;124,22;124,22;118,06;112,1;124,22;-;185;124,22;124,22
03.01.2023;00:00;01:00;130,01;120,08;130,01;130,01;78,81;130,01;130,01;134,04;130,01;130,01;78,81;119,17;130,01;-;170,77;130,01;130,01
03.01.2023;01:00;02:00;120;111,38;120;120;73,93;120;120;123,97;120;120;73,93;113,38;120;-;148,89;120;120
03.01.2023;02:00;03:00;118,76;110,06;118,76;118,76;73,94;118,76;118,76;122,56;118,76;118,76;73,94;108,94;118,76;-;120;118,76;118,76
03.01.2023;03:00;04:00;115;106,16;115;115;71,44;115;115;118,8;115;115;71,44;101,05;115;-;115;115;115
03.01.2023;04:00;05:00;113,63;105,76;113,63;113,63;72,33;113,63;113,63;117,39;113,63;113,63;72,33;105,86;113,63;-;113,63;113,63;113,63
03.01.2023;05:00;06:00;116,27;110,33;116,27;116,27;77,14;116,27;116,27;126,35;116,27;116,27;77,14;119,07;116,27;-;148,89;116,27;116,27
03.01.2023;06:00;07:00;138,92;133,59;138,92;138,92;102,48;138,92;138,92;136,07;138,92;138,92;102,48;156,05;138,92;-;191,58;138,92;138,92
03.01.2023;07:00;08:00;159,92;159,02;159,92;159,92;154,96;159,92;159,92;154,96;159,92;140,83;154,96;183,96;159,92;-;191,63;159,92;159,92
03.01.2023;08:00;09:00;169,17;166,74;169,17;169,17;163,92;169,17;169,17;163,92;169,17;142,2;163,92;185,2;169,17;-;199,74;169,17;169,17
03.01.2023;09:00;10:00;171,18;168,76;171,18;171,18;167,07;171,18;171,18;167,07;171,18;141,56;167,07;186,56;171,18;-;198,49;171,18;171,18
03.01.2023;10:00;11:00;168,57;167,69;168,57;168,57;168,57;168,57;168,57;168,57;168,57;143,34;168,57;184,08;168,57;-;191,58;168,57;168,57
03.01.2023;11:00;12:00;169,49;167,83;169,49;169,49;169,49;169,49;169,49;169,49;169,49;141,65;169,49;179,02;169,49;-;180,2;169,49;169,49
03.01.2023;12:00;13:00;164,5;163,21;164,5;164,5;164,5;164,5;164,5;164,5;164,5;143,34;164,5;171,42;164,5;-;175;164,5;164,5
03.01.2023;13:00;14:00;160,91;159,79;160,91;160,91;160,91;160,91;160,91;160,91;160,91;141,59;160,91;167,95;160,91;-;174,76;160,91;160,91
03.01.2023;14:00;15:00;163,06;161,74;163,06;163,06;163,06;163,06;163,06;163,06;163,06;141,58;163,06;170,04;163,06;-;180,2;163,06;163,06
03.01.2023;15:00;16:00;167,73;168,29;166,64;167,73;167,73;166,46;166,79;167,73;171,42;170,74;167,73;171,8;166,42;-;190;171,42;180,43
03.01.2023;16:00;17:00;166,61;168,3;166,64;166,61;166,61;166,88;166,57;166,61;174,99;167,72;166,61;172,47;169,59;-;194,9;174,99;172,63
03.01.2023;17:00;18:00;170,72;171,56;170,95;170,72;170,72;171,23;170,82;170,72;171,27;167,97;170,72;186,24;165,85;-;200,38;178,01;201,09
03.01.2023;18:00;19:00;168,93;169,16;168,97;168,93;168,93;169,01;168,95;168,93;169,02;159,96;168,93;180,86;168,23;-;200;170;173,38
03.01.2023;19:00;20:00;160,99;161,94;160,99;160,99;160,99;160,99;160,99;160,99;160,99;160,99;160,99;171,49;160,99;-;199,74;160,99;160,99
03.01.2023;20:00;21:00;149,62;150,45;149,62;149,62;149,62;149,62;149,62;149,62;149,62;149,62;149,62;158,72;149,62;-;195,02;149,62;149,62
03.01.2023;21:00;22:00;130,99;134,48;131,04;130,99;131,05;131,5;130,63;132,5;134,69;143,07;131,05;147,74;135,03;-;189,89;135,16;136,66
03.01.2023;22:00;23:00;114,27;120,02;114,69;114,27;114,27;115,1;114,42;120,64;119,44;132,52;114,27;141,58;119,03;-;173,57;120,78;122,19
03.01.2023;23:00;00:00;93,66;101,21;93,76;93,66;93,66;95,02;92,48;100,37;103,97;128,25;93,66;113,49;104,95;-;149,99;105,32;109,6
04.01.2023;00:00;01:00;80,89;93,53;80,17;80,89;82,88;82,03;80,07;92,56;105,1;130,34;82,88;121,55;90,34;-;121,5;99,18;101,38
04.01.2023;01:00;02:00;70,67;83,64;69,32;70,67;78,84;72,22;68,44;84,93;90,85;121,78;78,84;104,19;80,01;-;119,22;85,36;85,56
04.01.2023;02:00;03:00;40;68,09;39,58;40;69,93;43,91;37,92;69,93;83,1;128,19;69,93;88,65;77,87;-;100;75,04;79,05
04.01.2023;03:00;04:00;8,68;53,4;2,62;8,68;69,26;16,28;0;69,26;83,06;121,78;69,26;84,82;62,38;-;123,87;69,87;75,83
04.01.2023;04:00;05:00;0,85;55,12;0,85;0,85;71,75;8,56;0;71,75;93,94;122,94;71,75;83,95;80,01;-;128;85,24;89,88
04.01.2023;05:00;06:00;11,02;67,07;11,02;11,02;81,73;20,98;6,33;81,73;115,08;128,2;81,73;111,52;88,44;-;135;99,04;114,31
04.01.2023;06:00;07:00;61,02;93,84;61,03;61,02;80,11;72,45;54,9;87,44;159,95;138,87;80,11;128,92;107,48;-;171,58;159,95;192,9
04.01.2023;07:00;08:00;79,2;110,79;94,6;79,2;83,33;105,1;85,32;105,06;160,01;143,03;83,33;147,38;132,33;-;190;160,01;182,95
04.01.2023;08:00;09:00;84,2;125,17;134,16;84,2;86,27;134,16;150;114,96;155,04;142,51;86,27;154,3;135;-;217,72;157,57;174,09
04.01.2023;09:00;10:00;83,32;125,07;129,64;83,32;85,37;129,3;146;125,45;157,92;141,59;85,37;158,76;133,09;-;191,22;159,72;180,09
04.01.2023;10:00;11:00;70,07;117,96;120,7;70,07;75,95;120,7;131,19;126,99;157,92;139,31;75,95;153,82;125;-;183,83;163,82;183,83
04.01.2023;11:00;12:00;79,74;116,8;100,24;79,74;81,71;96,77;130,53;126,35;174,13;138,88;81,71;151,4;123,38;-;173,5;173,32;174,13
04.01.2023;12:00;13:00;80,89;117,52;105,03;80,89;80,89;105,03;127,87;123,78;167,45;135,8;80,89;155,46;129,67;-;169,41;167,86;169,41
04.01.2023;13:00;14:00;79,72;114,6;106;79,72;79,72;106;119,08;121,81;157,45;136,74;79,72;153,47;120,92;-;172;172;172
04.01.2023;14:00;15:00;80,22;113,82;105,07;80,22;80,22;105,07;116,55;120,4;156,06;130,08;80,22;156,53;121,55;-;183,57;183,57;216,43
04.01.2023;15:00;16:00;79,74;113,33;103,9;79,74;79,74;103,9;127,99;123,89;149,74;130,05;79,74;152,6;115,29;-;191,46;191,46;301,95
04.01.2023;16:00;17:00;80,82;117,4;107,98;80,82;80,82;107,98;131,25;127,05;157,99;141,03;80,82;154,18;121,43;-;200,45;207,58;346,54
04.01.2023;17:00;18:00;86,16;128,86;122,35;86,16;86,16;129,82;150,2;127,14;178,56;141,47;86,16;152,6;156,88;-;211,77;204,75;237,37
04.01.2023;18:00;19:00;72,28;126,12;139,93;72,28;72,28;167,29;137,5;126,19;167,36;141,04;72,28;157,59;133,58;-;215;211,15;317
04.01.2023;19:00;20:00;66,61;124,82;129,49;66,61;66,61;160,6;129,49;123,72;177,56;141,47;66,61;155;155,83;-;211,6;202,83;252,35
04.01.2023;20:00;21:00;43,2;113,92;105,89;43,2;62,13;132,1;122,4;120,11;175,89;127,1;62,13;149,07;153,14;-;200;201,82;251,06
04.01.2023;21:00;22:00;31,25;106,78;90,61;31,25;57,26;110,82;129,39;121,83;149,97;127,96;57,26;148,57;149,69;-;190,06;165,28;195,69
04.01.2023;22:00;23:00;34,96;99,37;87,92;34,96;37,94;109,89;108,96;115,64;147,97;117,27;37,94;144,52;150,09;-;179,99;161,02;185,85
04.01.2023;23:00;00:00;9,09;81,12;78,19;9,09;30,82;104,75;106;109,95;103,82;88,88;30,82;124,96;105,03;-;137,9;119,74;140,66
05.01.2023;00:00;01:00;0,05;62,14;34,78;0,09;30,03;64,89;5,4;101,28;108,01;86,16;30,03;110,55;112,27;-;150,98;120,83;145,49
05.01.2023;01:00;02:00;0,07;59,13;31,42;0,1;28,15;58,57;3,63;96,94;97,78;76,62;28,15;111,24;117,85;-;123;107,67;127,69
05.01.2023;02:00;03:00;0,07;57,3;33,1;0,12;27,68;68,07;4,9;96,24;95,09;63,17;27,68;110,04;104,17;-;107;95,09;88,05
05.01.2023;03:00;04:00;0,12;43,44;14,56;0,12;27,76;27,68;0;90,12;53,85;70,48;27,76;109,41;56,07;-;100;60,52;74,91
05.01.2023;04:00;05:00;2,23;49,22;22,19;2,23;28,63;37,33;6,87;99,91;56,35;59,72;28,63;108,78;90,74;-;107,4;59,58;67,15
05.01.2023;05:00;06:00;10,07;60,72;41,2;10,07;17,73;65,1;16,32;101,28;75,61;75,23;39,8;112,11;113,43;-;137,4;80,07;86,39
05.01.2023;06:00;07:00;61,04;89,3;78,53;61,04;62,7;95,05;67,8;110,02;104,98;97,28;62,7;121,98;120,27;-;188,16;130,28;137,46
05.01.2023;07:00;08:00;87,19;115,18;127,98;87,19;85,53;137,96;119,9;120,24;111,55;111,11;85,53;129,95;150;-;200,35;137,96;130,41
05.01.2023;08:00;09:00;95,84;127,37;141,02;95,84;93,54;137,99;179;122,13;123,94;117,82;93,54;142,56;153,73;-;227;137,99;135,26
05.01.2023;09:00;10:00;125,55;134,91;147,18;125,55;107,92;142,99;171,04;129,56;142,13;117,99;107,92;146,72;144,97;-;242,65;142,98;144,27
05.01.2023;10:00;11:00;131,92;138,28;149,81;131,92;128,75;145,7;169,47;136,14;140,03;107,37;128,75;143,07;140,03;-;192,94;140,93;141,08
05.01.2023;11:00;12:00;143,07;142,11;147,46;143,07;139,64;145,8;154;143,07;145,8;114,56;139,64;145,88;144,25;-;184,38;145,8;145,8
05.01.2023;12:00;13:00;140,91;139,38;143,17;140,91;139,99;142,35;146;140,91;142,35;108,79;139,99;146,54;142,2;-;165;142,27;142,35
05.01.2023;13:00;14:00;142,58;142,13;143,79;142,58;142,58;143,32;145,1;142,84;142,81;128,5;142,58;146,57;142,72;-;165,1;142,83;142,76
05.01.2023;14:00;15:00;151,03;148,62;151,03;151,03;149,4;151,03;151,03;149,4;151,03;126,3;149,4;154,18;151,03;-;184,52;151,03;151,03
05.01.2023;15:00;16:00;159,48;155,6;159,48;159,48;155,2;159,48;159,48;155,2;159,48;132,78;155,2;156,39;159,48;-;199,35;159,48;159,48
05.01.2023;16:00;17:00;172,73;167,18;172,73;172,73;172,73;172,73;172,73;167,38;172,73;133,95;168,59;159,96;172,73;-;234,27;172,73;172,73
05.01.2023;17:00;18:00;194,7;187;182,34;194,7;194,7;183,9;222,1;189,06;192,02;137,25;190,03;177,53;193,42;-;249,99;191,9;192,8
05.01.2023;18:00;19:00;194,67;187,05;194,67;194,67;194,67;194,67;194,67;188,81;194,67;135,91;190;180,1;194,67;-;239,99;194,67;194,67
05.01.2023;19:00;20:00;177,98;173,01;177,98;177,98;177,98;177,98;177,98;172,28;177,98;137,05;173,71;174,24;177,98;-;248,8;177,98;177,98
05.01.2023;20:00;21:00;163,99;160,15;163,99;163,99;163,99;163,99;163,99;158,74;163,99;128,49;160,05;166,48;163,99;-;200,01;163,99;163,99
05.01.2023;21:00;22:00;152;149,78;152;152;152;152;152;148,62;152;132,76;148,62;153,62;152;-;192,94;152;152
05.01.2023;22:00;23:00;144,64;142,71;144,64;144,64;144,64;144,64;144,64;141,17;144,64;131,69;141,17;143,3;144,64;-;184,99;144,64;144,64
05.01.2023;23:00;00:00;127;126,84;127;127;127;127;127;127;127;127;127;125,23;127;-;160,86;127;127
06.01.2023;00:00;01:00;107,21;107,25;107,21;107,21;107,21;107,21;107,21;110,24;107,21;100,92;107,21;110,86;107,21;-;173,13;107,21;107,21
06.01.2023;01:00;02:00;101,1;101,79;101,1;101,1;101,1;101,1;101,1;104,29;101,1;101,1;101,1;105,48;101,1;-;170,77;101,1;101,1
06.01.2023;02:00;03:00;96,73;97,63;96,73;96,73;96,73;96,73;96,73;99,61;96,73;96,73;96,73;103,74;96,73;-;160;96,73;96,73
06.01.2023;03:00;04:00;82,34;85,66;81,37;82,34;82,34;81,37;81,42;84,97;86,76;93,85;82,34;102,78;82,72;-;150;83,63;83,1
06.01.2023;04:00;05:00;81,93;84,39;75,64;81,93;81,93;75,75;74,45;84,56;99,09;85,82;81,93;102,25;84,99;-;152,1;91,36;87,91
06.01.2023;05:00;06:00;84,03;88,48;80,06;84,03;84,03;81;78,32;86,71;99,97;98,11;84,03;106,81;90,26;-;155;94,07;94,82
06.01.2023;06:00;07:00;97,25;100,12;97,25;97,25;97,25;97,45;96,89;100,36;105,04;96,29;97,25;115,53;100,76;-;172,8;102,73;103,25
06.01.2023;07:00;08:00;106,51;114,3;107,11;106,51;103,95;107,82;107,02;110,93;142,03;103,31;103,95;141,33;123,33;-;174,6;135,51;135,76
06.01.2023;08:00;09:00;120,7;121,79;122,94;120,7;108,51;122,8;122,94;120,7;144,13;99,94;108,51;141,17;127,38;-;174,34;144,13;160
06.01.2023;09:00;10:00;116,86;130,44;152,77;116,86;109,92;138,27;166,4;120,07;141,9;108,76;109,92;141,65;128,27;-;174,14;136,44;135,53
06.01.2023;10:00;11:00;112,85;130,62;158,39;112,85;110,14;139,97;182,4;116,98;138,94;101,65;110,14;140,49;124,89;-;156,68;133,8;132,32
06.01.2023;11:00;12:00;113,37;125,56;144,18;113,37;110,65;131,72;163,67;116,99;123,44;106,2;110,65;142,56;117,69;-;147,6;122,88;122,24
06.01.2023;12:00;13:00;115;119,86;126,89;115;109,91;122,22;140,2;118,43;122,22;100,57;109,91;135,31;117,77;-;145,5;122,22;122,22
06.01.2023;13:00;14:00;109,78;114,15;120,05;109,78;101,09;116,09;135;116,44;116,09;106,79;101,09;119,88;113,38;-;135,45;116,09;116,09
06.01.2023;14:00;15:00;119,71;125,81;134,84;119,71;113,06;129,22;158;120,64;139,42;101,92;113,06;126,22;127,84;-;149,99;139,42;140,08
06.01.2023;15:00;16:00;125,83;135,15;144,04;125,83;122,81;137,2;170,4;128,85;155,91;103,21;122,81;137,55;138,09;-;173,97;149,35;153,89
06.01.2023;16:00;17:00;139,57;138,9;140,12;139,57;135,62;140,75;140,1;135,62;163,91;103,27;135,62;147,99;145,28;-;179,6;163,97;185,24
06.01.2023;17:00;18:00;155,93;150,13;155,93;155,22;150,72;155,93;155,93;150,72;155,93;109,44;150,72;154,93;155,93;-;211,85;155,93;155,93
06.01.2023;18:00;19:00;163,5;151,14;163,5;150,09;142,11;163,5;163,5;145,73;163,5;101,77;142,11;163,22;163,5;-;226,72;163,5;163,5
06.01.2023;19:00;20:00;146,74;138,71;146,74;146,15;119,92;146,74;146,74;141,91;146,74;104,27;119,92;159,89;146,74;-;249;146,74;146,74
06.01.2023;20:00;21:00;139,38;130,61;139,39;139,1;107,22;139,4;139,39;135,06;139,39;100,67;107,22;150,62;139,27;-;219,99;139,57;140,06
06.01.2023;21:00;22:00;131,8;123,96;131,89;131,8;101,02;132;131,84;127,97;131,9;103,33;101,02;140,75;129,99;-;188,09;134,65;142,48
06.01.2023;22:00;23:00;129,94;117,22;129,94;129,94;74,25;129,94;129,94;126,08;129,94;95,98;74,25;139,19;129,94;-;175,74;129,94;129,94
06.01.2023;23:00;00:00;121,3;112,76;121,34;121,3;94,8;121,38;121,31;121,3;121,51;97,74;71,74;126,7;121,21;-;164,2;122,11;121,39
07.01.2023;00:00;01:00;97,15;100,11;97,3;97,15;71,67;97,53;97,28;113,54;108,08;103,27;71,67;142,68;101,02;-;176,66;106,52;113,19
07.01.2023;01:00;02:00;98,43;97,47;98,12;98,43;69,93;98,19;98,16;101,78;105,05;104,71;69,93;126,98;100,92;-;174,01;105,05;105,06
07.01.2023;02:00;03:00;96,05;96,69;94,88;96,05;96,05;94,91;94,96;98,92;101,03;99,45;69,94;121,05;96,34;-;174,01;99,4;99,97
07.01.2023;03:00;04:00;87,97;90,51;78,04;87,97;87,97;78,04;83,86;90,6;105,02;103,78;70,95;119,9;89,43;-;173,05;94,05;94,05
07.01.2023;04:00;05:00;82,99;87,49;75,43;82,99;82,99;74,46;76,66;85,65;108,06;102,58;73,83;114,69;85,01;-;173,03;100,03;100,03
07.01.2023;05:00;06:00;83,59;90,09;67,65;83,59;83,59;65,13;69,88;86,26;139,31;105,14;75,26;128,23;86,96;-;174,01;123,12;130,08
07.01.2023;06:00;07:00;90,76;96,97;74,37;90,76;90,76;71,75;76,49;93,67;155,92;104,71;77,82;132,99;97,41;-;179,55;134,42;140,25
07.01.2023;07:00;08:00;103,21;107,97;91,14;103,21;103,21;89,37;92,53;105,75;155,94;117,26;75,97;150,11;103,21;-;186,67;125,62;165,82
07.01.2023;08:00;09:00;111,86;118,92;109,89;111,86;111,86;110,9;109,94;111,86;152,51;128,43;79,98;152,26;128,66;-;192,82;138,82;145,5
07.01.2023;09:00;10:00;112;123,86;112,74;112;112;113,96;112,87;112;163,9;137,07;109,31;140,89;135,71;-;206,09;160,63;160,63
07.01.2023;10:00;11:00;100;115,33;99,63;100;100;100;100,69;106,78;159,91;126,68;97,6;151,29;126,08;-;186,39;149,88;149,75
07.01.2023;11:00;12:00;88,32;109,27;87,15;88,32;88,32;88,32;88,32;101,2;162,21;137,83;86,2;151,09;122,97;-;178,54;148,82;148,69
07.01.2023;12:00;13:00;87,9;108,05;87,17;87,9;87,9;87,9;87,9;101,49;163,93;121,52;85,79;157,01;120;-;165;156,32;154,03
07.01.2023;13:00;14:00;94,05;105,72;71,93;94,05;91,79;68,84;74,29;99,99;163,94;134,12;91,79;155,08;117,14;-;163,94;130,22;134,91
07.01.2023;14:00;15:00;88,98;108,94;89,84;88,98;80,51;91,21;90;99,92;164,81;130,39;80,51;159,93;122,24;-;177,44;156,72;156,72
07.01.2023;15:00;16:00;85,56;108,78;83,27;85,56;78,94;82,96;86,9;99,4;182,11;139,85;78,94;155,08;123,58;-;182,11;182,11;221,83
07.01.2023;16:00;17:00;94,1;110,13;87,76;94,1;79,93;85,07;94,31;99,99;168,67;161,63;79,93;160;99,99;-;189,94;185,84;349,68
07.01.2023;17:00;18:00;96,81;114,64;98,24;96,81;78,68;100,48;98,32;101,56;174,98;166,25;78,68;163,18;103,86;-;242,93;194,36;362,99
07.01.2023;18:00;19:00;99,52;116,42;101,46;99,52;78,38;103,82;100,96;102,71;178,4;157,58;78,38;164,42;115;-;244,99;184,65;303,74
07.01.2023;19:00;20:00;94,58;111,31;96,54;94,58;74,39;98,93;96;97,61;166,9;155,96;74,39;164,23;104,83;-;245;178,96;313,47
07.01.2023;20:00;21:00;87,86;103,84;89,32;87,86;66,98;90,98;89,1;90,67;160,02;131,19;66,98;159,13;110;-;194,25;153;213,04
07.01.2023;21:00;22:00;61,47;87,75;62,98;61,47;59,99;64,88;62,98;74,59;155,96;109,71;59,99;154,29;98,41;-;187,6;139,99;173,32
07.01.2023;22:00;23:00;50;79,95;51,25;50;48,8;53,27;51,2;64,96;155,28;100,74;48,8;156,36;98,74;-;178,54;148,33;147,25
07.01.2023;23:00;00:00;38,25;62,94;38,8;38,25;35,9;40,25;38,79;39,47;108,08;95,59;35,9;151,06;70,27;-;180;101,25;101,25
08.01.2023;00:00;01:00;10,93;47,3;11,4;10,93;24,44;13,21;11,55;24,44;115,01;85,62;24,44;141,59;57,66;-;164,87;84,48;94,17
08.01.2023;01:00;02:00;9,07;40,15;8,79;9,07;9,3;10,44;9,07;9,36;114,05;76,05;9,3;127,4;58,82;-;155,73;87,09;88,35
08.01.2023;02:00;03:00;9,1;36,34;8,85;9,1;9,1;10,26;9,1;9,39;99,97;69,19;9,1;113,94;51,71;-;150;74,14;76,64
